AvgAddedCalls,AvgAddedLatency,AvgLatency,AvgToolCalls,EPVR,InvalidPlanF1,InvalidPlanPR_AUC,InvalidPlanPrecision,InvalidPlanROC_AUC,InvalidPlanRecall,Method,OEPVR,OURR,RepairF1,RepairPrecision,RepairRate,RepairRecall,SCCR,SchemaConnectivityRate,TSR,group,method
0.4633333333333333,38.95,1535.6684797521239,7.3566666666666665,0.7666666666666667,1.0,1.0,1.0,1.0,1.0,Proposed,0.83,0.5179856115107914,0.595959595959596,0.4244604316546763,0.4633333333333333,1.0,0.7666666666666667,0.4766666666666667,0.8966666666666666,42,proposed
0.49333333333333335,46.13333333333333,1542.9617478409573,7.386666666666667,0.7833333333333333,1.0,1.0,1.0,1.0,1.0,Proposed,0.83,0.49324324324324326,0.6296296296296297,0.4594594594594595,0.49333333333333335,1.0,0.7833333333333333,0.4866666666666667,0.9266666666666666,123,proposed
0.4633333333333333,45.9,1546.6010555734965,7.3533333333333335,0.7666666666666667,1.0,1.0,1.0,1.0,1.0,Proposed,0.8366666666666667,0.49640287769784175,0.6439024390243903,0.4748201438848921,0.4633333333333333,1.0,0.7666666666666667,0.5,0.92,2026,proposed
0.0,0.0,1208.0066789919424,5.333333333333333,0.4666666666666667,0.7951807228915663,0.9788611784005136,1.0,0.9806666666666667,0.66,ReAct,0.5,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.6666666666666666,0.4666666666666667,42,react
0.0,0.0,1209.6476467032842,5.333333333333333,0.4666666666666667,0.7952755905511811,0.985848844497095,1.0,0.9867502556578187,0.6601307189542484,ReAct,0.49,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.6666666666666666,0.4666666666666667,123,react
0.0,0.0,1208.924124881533,5.333333333333333,0.4666666666666667,0.808,0.9785440807881032,1.0,0.9802213431708076,0.6778523489932886,ReAct,0.5033333333333333,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.6666666666666666,0.4666666666666667,2026,react
0.0,0.0,1206.5332273290535,5.833333333333333,0.4,1.0,1.0,1.0,1.0,1.0,Schema-Aware,0.5,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.5833333333333334,42,schema_aware
0.0,0.0,1202.1778828493361,5.833333333333333,0.4,1.0,1.0,1.0,1.0,1.0,Schema-Aware,0.49,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.5833333333333334,123,schema_aware
0.0,0.0,1206.6197257478166,5.833333333333333,0.4,1.0,1.0,1.0,1.0,1.0,Schema-Aware,0.49666666666666665,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.5833333333333334,2026,schema_aware
0.5266666666666666,49.88333333333333,1548.6823125927351,7.42,0.83,1.0,1.0,1.0,1.0,1.0,Strict,0.83,0.5759493670886076,0.3286908077994429,0.19666666666666666,1.0,1.0,0.83,0.4533333333333333,0.8966666666666666,42,strict
0.54,54.0,1551.8297247466223,7.433333333333334,0.83,1.0,1.0,1.0,1.0,1.0,Strict,0.83,0.5370370370370371,0.3695652173913044,0.22666666666666666,1.0,1.0,0.83,0.47333333333333333,0.9266666666666666,123,strict
0.5333333333333333,57.1,1559.0632222633951,7.423333333333333,0.8366666666666667,1.0,1.0,1.0,1.0,1.0,Strict,0.8366666666666667,0.5625,0.36065573770491804,0.22,1.0,1.0,0.8366666666666667,0.48333333333333334,0.92,2026,strict
