Method,SCCR,OEPVR,TSR,Repair Precision,Repair Recall,Repair F1,OURR,Repair Rate,Avg Tool Calls,Avg Added Latency
Proposed,0.7722222222222223,0.8322222222222222,0.9144444444444444,0.45305164319248825,1.0,0.6235864297253635,0.5023474178403756,0.47333333333333333,7.365555555555556,43.66111111111111
ReAct,0.4666666666666667,0.49777777777777776,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,5.333333333333333,0.0
Schema-Aware,0.4,0.4955555555555556,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,5.833333333333333,0.0
Strict,0.8322222222222222,0.8322222222222222,0.9144444444444444,0.21444444444444444,1.0,0.35315645013723695,0.5583333333333333,1.0,7.4255555555555555,53.66111111111111
