AvgAddedCalls,AvgAddedLatency,AvgLatency,AvgToolCalls,EPVR,InvalidPlanF1,InvalidPlanPR_AUC,InvalidPlanPrecision,InvalidPlanROC_AUC,InvalidPlanRecall,Method,OEPVR,OURR,RepairF1,RepairPrecision,RepairRate,RepairRecall,SCCR,SchemaConnectivityRate,TSR,group,method
0.7391304347826086,81.6304347826087,1576.2706993953034,7.619565217391305,0.75,1.0,1.0,1.0,1.0,1.0,Proposed,0.7934782608695652,0.47058823529411764,0.6534653465346535,0.4852941176470588,0.7391304347826086,1.0,0.75,0.5869565217391305,0.8913043478260869,compound,proposed
0.5268817204301075,88.38709677419355,1573.7342712836648,7.376344086021505,0.5913978494623656,1.0,1.0,1.0,1.0,1.0,Proposed,0.8279569892473119,0.14285714285714285,0.898876404494382,0.8163265306122449,0.5268817204301075,1.0,0.5913978494623656,0.40860215053763443,0.8387096774193549,confidence,proposed
0.7586206896551724,25.804597701149426,1544.8752101973544,7.689655172413793,0.8045977011494253,1.0,1.0,1.0,1.0,1.0,Proposed,0.8045977011494253,0.4393939393939394,0.6666666666666666,0.5,0.7586206896551724,1.0,0.8045977011494253,0.21839080459770116,0.8160919540229885,coordinate,proposed
0.45454545454545453,44.77272727272727,1578.4925330843405,7.420454545454546,0.4772727272727273,1.0,1.0,1.0,1.0,1.0,Proposed,0.7954545454545454,0.225,0.787878787878788,0.65,0.45454545454545453,1.0,0.4772727272727273,0.6477272727272727,0.8409090909090909,freshness,proposed
0.17222222222222222,10.333333333333334,1505.4565459943244,7.1,0.8277777777777777,1.0,1.0,1.0,1.0,1.0,Proposed,0.8277777777777777,1.0,0.0,0.0,0.17222222222222222,0.0,0.8277777777777777,0.6444444444444445,1.0,none,proposed
0.7888888888888889,131.33333333333334,1579.3350058462092,7.466666666666667,0.9111111111111111,1.0,1.0,1.0,1.0,1.0,Proposed,0.9111111111111111,0.5774647887323944,0.5656565656565656,0.39436619718309857,0.7888888888888889,1.0,0.9111111111111111,0.2111111111111111,0.8888888888888888,provenance,proposed
0.7777777777777778,20.444444444444443,1541.99111215019,7.688888888888889,0.8777777777777778,1.0,1.0,1.0,1.0,1.0,Proposed,0.8777777777777778,0.4857142857142857,0.6407766990291262,0.4714285714285714,0.7777777777777778,1.0,0.8777777777777778,0.2222222222222222,0.8666666666666667,unit,proposed
0.0,0.0,1194.8217082635579,5.293478260869565,0.358695652173913,1.0,1.0,1.0,1.0,1.0,ReAct,0.358695652173913,0.0,0.0,0.0,0.0,0.0,0.358695652173913,0.6521739130434783,0.32608695652173914,compound,react
0.0,0.0,1183.9618583657805,5.333333333333333,0.3655913978494624,0.85,1.0,1.0,0.9736355226641998,0.7391304347826086,ReAct,0.5053763440860215,0.0,0.0,0.0,0.0,0.0,0.3655913978494624,0.6989247311827957,0.27956989247311825,confidence,react
0.0,0.0,1213.3245108284866,5.32183908045977,0.2988505747126437,1.0,1.0,1.0,1.0,1.0,ReAct,0.2988505747126437,0.0,0.0,0.0,0.0,0.0,0.2988505747126437,0.6206896551724138,0.26436781609195403,coordinate,react
0.0,0.0,1226.3456648214883,5.318181818181818,0.29545454545454547,0.7466666666666666,1.0,1.0,0.9372080954852102,0.5957446808510638,ReAct,0.4659090909090909,0.0,0.0,0.0,0.0,0.0,0.29545454545454547,0.6136363636363636,0.32954545454545453,freshness,react
0.0,0.0,1208.7657122249857,5.333333333333333,0.6666666666666666,0.0,1.0,0.0,0.6666666666666666,0.0,ReAct,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,none,react
0.0,0.0,1199.9967797125873,5.411111111111111,0.37777777777777777,1.0,1.0,1.0,1.0,1.0,ReAct,0.37777777777777777,0.0,0.0,0.0,0.0,0.0,0.37777777777777777,0.7888888888888889,0.5111111111111111,provenance,react
0.0,0.0,1236.760751814066,5.322222222222222,0.3,1.0,1.0,1.0,1.0,1.0,ReAct,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.6222222222222222,0.28888888888888886,unit,react
0.0,0.0,1214.313789688483,5.880434782608695,0.0,1.0,1.0,1.0,0.0,1.0,Schema-Aware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.41304347826086957,compound,schema_aware
0.0,0.0,1157.9169681993985,5.720430107526882,0.0,1.0,1.0,1.0,1.0,1.0,Schema-Aware,0.40860215053763443,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3655913978494624,confidence,schema_aware
0.0,0.0,1230.9883673839106,5.942528735632184,0.0,1.0,1.0,1.0,0.0,1.0,Schema-Aware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3218390804597701,coordinate,schema_aware
0.0,0.0,1208.3584174179193,5.863636363636363,0.0,1.0,1.0,1.0,1.0,1.0,Schema-Aware,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4318181818181818,freshness,schema_aware
0.0,0.0,1204.74183100699,5.833333333333333,1.0,0.0,0.0,0.0,0.0,0.0,Schema-Aware,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8333333333333334,none,schema_aware
0.0,0.0,1218.5569639686537,5.777777777777778,0.0,1.0,1.0,1.0,0.0,1.0,Schema-Aware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5444444444444444,provenance,schema_aware
0.0,0.0,1204.3043274345011,5.822222222222222,0.0,1.0,1.0,1.0,0.0,1.0,Schema-Aware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4222222222222222,unit,schema_aware
0.782608695652174,87.28260869565217,1583.1793935313183,7.663043478260869,0.7934782608695652,1.0,1.0,1.0,1.0,1.0,Strict,0.7934782608695652,0.5,0.5279999999999999,0.358695652173913,1.0,1.0,0.7934782608695652,0.5869565217391305,0.8913043478260869,compound,strict
0.7634408602150538,140.43010752688173,1633.4108854832846,7.612903225806452,0.8279569892473119,1.0,1.0,1.0,1.0,1.0,Strict,0.8279569892473119,0.4084507042253521,0.6015037593984962,0.43010752688172044,1.0,1.0,0.8279569892473119,0.23655913978494625,0.8387096774193549,confidence,strict
0.7586206896551724,25.804597701149426,1544.8752101973544,7.689655172413793,0.8045977011494253,1.0,1.0,1.0,1.0,1.0,Strict,0.8045977011494253,0.4393939393939394,0.5499999999999999,0.3793103448275862,1.0,1.0,0.8045977011494253,0.21839080459770116,0.8160919540229885,coordinate,strict
0.7727272727272727,86.13636363636364,1625.2842143317766,7.738636363636363,0.7954545454545454,1.0,1.0,1.0,1.0,1.0,Strict,0.7954545454545454,0.5441176470588235,0.456140350877193,0.29545454545454547,1.0,1.0,0.7954545454545454,0.6477272727272727,0.8409090909090909,freshness,strict
0.17222222222222222,10.333333333333334,1505.4565459943244,7.1,0.8277777777777777,1.0,1.0,1.0,1.0,1.0,Strict,0.8277777777777777,1.0,0.0,0.0,1.0,0.0,0.8277777777777777,0.6444444444444445,1.0,none,strict
0.7888888888888889,131.33333333333334,1579.3350058462092,7.466666666666667,0.9111111111111111,1.0,1.0,1.0,1.0,1.0,Strict,0.9111111111111111,0.5774647887323944,0.4745762711864407,0.3111111111111111,1.0,1.0,0.9111111111111111,0.2111111111111111,0.8888888888888888,provenance,strict
0.7777777777777778,20.444444444444443,1541.99111215019,7.688888888888889,0.8777777777777778,1.0,1.0,1.0,1.0,1.0,Strict,0.8777777777777778,0.4857142857142857,0.5365853658536585,0.36666666666666664,1.0,1.0,0.8777777777777778,0.2222222222222222,0.8666666666666667,unit,strict
