EPVR,OURR,TSR,URR,VURR,avg_added_calls,avg_added_latency,avg_agent_calls,avg_latency,avg_residual_risk,avg_tool_calls,group,method,repair_auc,repair_f1,repair_pr_auc,repair_precision,repair_rate,repair_recall,repair_selection_change_rate,risk_reduction,risk_reduction_per_added_latency
0.7666666666666667,0.5179856115107914,0.8966666666666666,0.0,0.0,0.4633333333333333,38.95,0.6666666666666666,1535.6684797521239,0.042463888888888884,7.3566666666666665,all,theta=0.05,0.784935649483086,0.595959595959596,0.530589992855701,0.4244604316546763,0.4633333333333333,1.0,0.12096774193548387,0.14679999999999999,0.0027936914011914013
0.7466666666666667,0.5413533834586466,0.8766666666666667,0.0,0.0,0.44333333333333336,34.55,0.6666666666666666,1529.7835606483447,0.043505555555555554,7.336666666666667,all,theta=0.1,0.784935649483086,0.5520833333333333,0.530589992855701,0.39849624060150374,0.44333333333333336,0.8983050847457628,0.12096774193548387,0.14575833333333332,0.002788956552706553
0.5066666666666667,0.6229508196721312,0.7666666666666667,0.0,0.0,0.20333333333333334,14.533333333333333,0.6666666666666666,1507.5721169404226,0.08385277777777778,7.096666666666667,all,theta=0.2,0.784935649483086,0.3333333333333333,0.530589992855701,0.32786885245901637,0.20333333333333334,0.3389830508474576,0.12096774193548387,0.10541111111111112,0.001656513532763533
0.49666666666666665,0.6551724137931034,0.76,0.0,0.0,0.19333333333333333,13.233333333333333,0.6666666666666666,1506.0590657702699,0.08604027777777778,7.086666666666667,all,theta=0.3,0.784935649483086,0.3076923076923077,0.530589992855701,0.3103448275862069,0.19333333333333333,0.3050847457627119,0.12096774193548387,0.10322361111111111,0.0016396866096866098
0.47333333333333333,0.7450980392156863,0.74,0.0,0.0,0.17,10.2,0.6666666666666666,1503.0089278231715,0.09503333333333333,7.0633333333333335,all,theta=0.4,0.784935649483086,0.2181818181818182,0.530589992855701,0.23529411764705882,0.17,0.2033898305084746,0.12096774193548387,0.09423055555555557,0.0015705092592592593
0.47333333333333333,0.7450980392156863,0.74,0.0,0.0,0.17,10.2,0.6666666666666666,1503.0089278231715,0.09503333333333333,7.0633333333333335,all,theta=0.5,0.784935649483086,0.2181818181818182,0.530589992855701,0.23529411764705882,0.17,0.2033898305084746,0.12096774193548387,0.09423055555555557,0.0015705092592592593
0.47333333333333333,0.7450980392156863,0.74,0.0,0.0,0.17,10.2,0.6666666666666666,1503.0089278231715,0.09503333333333333,7.0633333333333335,all,theta=0.6,0.784935649483086,0.2181818181818182,0.530589992855701,0.23529411764705882,0.17,0.2033898305084746,0.12096774193548387,0.09423055555555557,0.0015705092592592593
0.47333333333333333,0.7450980392156863,0.74,0.0,0.0,0.17,10.2,0.6666666666666666,1503.0089278231715,0.09503333333333333,7.0633333333333335,all,theta=0.7,0.784935649483086,0.2181818181818182,0.530589992855701,0.23529411764705882,0.17,0.2033898305084746,0.12096774193548387,0.09423055555555557,0.0015705092592592593
0.47333333333333333,0.0,0.7,0.0,0.0,0.0,0.0,0.6666666666666666,1491.0792269478698,0.1892638888888889,6.8933333333333335,all,theta=0.8,0.784935649483086,0.0,0.530589992855701,0.0,0.0,0.0,0.12096774193548387,0.0,0.0
0.47333333333333333,0.0,0.7,0.0,0.0,0.0,0.0,0.6666666666666666,1491.0792269478698,0.1892638888888889,6.8933333333333335,all,theta=0.9,0.784935649483086,0.0,0.530589992855701,0.0,0.0,0.0,0.12096774193548387,0.0,0.0
