EPVR,TSR,URR,avg_agent_calls,avg_latency,avg_residual_risk,avg_tool_calls,method,repair_f1,repair_precision,repair_recall,violation_type
0.0,0.0,0.0,0.6086956521739131,1309.7661770776851,0.0,5.869565217391305,react,0.0,0.0,0.0,provenance
0.0,0.0,0.0,0.5833333333333334,1291.1568458701765,0.0,5.944444444444445,react,0.0,0.0,0.0,coordinate
0.8333333333333334,0.8333333333333334,0.0,0.6666666666666666,1371.2153602440242,0.0,6.166666666666667,react,0.0,0.0,0.0,none
0.0,0.44,0.0,0.76,1442.1715328266991,0.0,6.28,react,0.0,0.0,0.0,confidence
0.0,0.3103448275862069,0.0,0.6551724137931034,1385.5828207731067,0.0,6.172413793103448,react,0.0,0.0,0.0,freshness
0.0,0.0,0.0,0.7419354838709677,1449.6850036382446,0.0,6.258064516129032,react,0.0,0.0,0.0,compound
0.0,0.0,0.0,0.6666666666666666,1425.6765155164733,0.0,6.416666666666667,react,0.0,0.0,0.0,unit
0.0,0.0,0.0,0.6086956521739131,1309.7661770776851,0.0,5.869565217391305,schema_aware,0.0,0.0,0.0,provenance
0.0,0.0,0.0,0.5833333333333334,1291.1568458701765,0.0,5.944444444444445,schema_aware,0.0,0.0,0.0,coordinate
0.8333333333333334,0.8333333333333334,0.0,0.6666666666666666,1371.2153602440242,0.0,6.166666666666667,schema_aware,0.0,0.0,0.0,none
0.0,0.44,0.0,0.76,1442.1715328266991,0.0,6.28,schema_aware,0.0,0.0,0.0,confidence
0.0,0.3103448275862069,0.0,0.6551724137931034,1385.5828207731067,0.0,6.172413793103448,schema_aware,0.0,0.0,0.0,freshness
0.0,0.0,0.0,0.7419354838709677,1449.6850036382446,0.0,6.258064516129032,schema_aware,0.0,0.0,0.0,compound
0.0,0.0,0.0,0.6666666666666666,1425.6765155164733,0.0,6.416666666666667,schema_aware,0.0,0.0,0.0,unit
0.7391304347826086,0.7391304347826086,0.0,0.6086956521739131,1621.4331836632223,0.0573913043478261,6.869565217391305,strict,0.85,0.7391304347826086,1.0,provenance
0.8611111111111112,0.8611111111111112,0.0,0.5833333333333334,1394.4815348865823,0.030555555555555558,6.944444444444445,strict,0.9253731343283582,0.8611111111111112,1.0,coordinate
0.8333333333333334,0.8333333333333334,0.0,0.6666666666666666,1458.934321825153,0.02,6.666666666666667,strict,0.0,0.0,0.0,none
0.96,0.96,0.0,0.76,1726.8417618719695,0.0088,7.28,strict,0.6842105263157895,0.52,1.0,confidence
0.7586206896551724,0.7586206896551724,0.0,0.6551724137931034,1634.104841437276,0.05310344827586208,7.172413793103448,strict,0.6190476190476191,0.4482758620689655,1.0,freshness
0.8064516129032258,0.8064516129032258,0.0,0.7419354838709677,1696.785523330845,0.04258064516129033,7.258064516129032,strict,0.8928571428571428,0.8064516129032258,1.0,compound
0.8611111111111112,0.8611111111111112,0.0,0.6666666666666666,1552.1721984693806,0.030555555555555558,7.416666666666667,strict,0.9253731343283582,0.8611111111111112,1.0,unit
0.7391304347826086,0.7391304347826086,0.0,0.6086956521739131,1621.4331836632223,0.0573913043478261,6.869565217391305,proposed,0.85,0.7391304347826086,1.0,provenance
0.8611111111111112,0.8611111111111112,0.0,0.5833333333333334,1394.4815348865823,0.030555555555555558,6.944444444444445,proposed,0.9253731343283582,0.8611111111111112,1.0,coordinate
0.8333333333333334,0.8333333333333334,0.0,0.6666666666666666,1458.934321825153,0.02,6.666666666666667,proposed,0.0,0.0,0.0,none
0.0,0.44,0.0,0.76,1467.9160194832903,0.023258333333333336,6.32,proposed,0.0,0.0,0.0,confidence
0.4482758620689655,0.7586206896551724,0.0,0.6551724137931034,1594.1617229939272,0.0556896551724138,6.862068965517241,proposed,0.787878787878788,0.65,1.0,freshness
0.8064516129032258,0.8064516129032258,0.0,0.7419354838709677,1696.785523330845,0.04258064516129033,7.258064516129032,proposed,0.8928571428571428,0.8064516129032258,1.0,compound
0.8611111111111112,0.8611111111111112,0.0,0.6666666666666666,1552.1721984693806,0.030555555555555558,7.416666666666667,proposed,0.9253731343283582,0.8611111111111112,1.0,unit
