EPVR,OURR,TSR,URR,VURR,avg_agent_calls,avg_latency,avg_residual_risk,avg_tool_calls,method,repair_auc,repair_f1,repair_pr_auc,repair_precision,repair_recall,severity
0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,1207.010742979743,0.0,5.333333333333333,react,0.0,0.0,0.0,0.0,0.0,minor
0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,1208.0687965056484,0.0,5.333333333333333,react,0.0,0.0,0.0,0.0,0.0,normal
0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,1208.9197916525336,0.0,5.333333333333333,react,0.5899398578458174,0.0,1.0,0.0,0.0,critical
0.0,0.0,0.8333333333333334,0.0,0.0,0.5,1204.145182274838,0.0,5.833333333333333,schema_aware,0.0,0.0,0.0,0.0,0.0,minor
1.0,0.0,0.8333333333333334,0.0,0.0,0.5,1204.6828005309692,0.0,5.833333333333333,schema_aware,0.0,0.0,0.0,0.0,0.0,normal
0.0,0.0,0.0,0.0,0.0,0.5,1211.3885081140484,0.0,5.833333333333333,schema_aware,0.5899398578458174,0.0,1.0,0.0,0.0,critical
0.8222222222222222,1.0,1.0,0.0,0.0,0.6666666666666666,1544.8434808679742,0.021333333333333333,7.6,strict,0.0,0.0,0.0,0.0,0.0,minor
0.8166666666666667,1.0,1.0,0.0,0.0,0.6666666666666666,1506.0305036905872,0.022,7.116666666666666,strict,0.0,0.0,0.0,0.0,0.0,normal
0.8555555555555555,0.0,0.6555555555555556,0.0,0.0,0.6666666666666666,1542.425190894117,0.018949074074074073,7.644444444444445,strict,0.8638600328048114,0.7919463087248323,0.9333899146837527,0.6555555555555556,1.0,critical
0.6111111111111112,1.0,1.0,0.0,0.0,0.6666666666666666,1520.8067365713932,0.022490740740740738,7.388888888888889,proposed,0.0,0.0,0.0,0.0,0.0,minor
0.8166666666666667,1.0,1.0,0.0,0.0,0.6666666666666666,1506.0305036905872,0.022,7.116666666666666,proposed,0.0,0.0,0.0,0.0,0.0,normal
0.7888888888888889,0.0,0.5888888888888889,0.0,0.0,0.6666666666666666,1536.8325854795557,0.020685185185185185,7.5777777777777775,proposed,0.8638600328048114,0.8833333333333333,0.9333899146837527,0.8688524590163934,0.8983050847457628,critical
