EPVR,OURR,TSR,URR,VURR,avg_agent_calls,avg_latency,avg_residual_risk,avg_tool_calls,method,repair_auc,repair_f1,repair_pr_auc,repair_precision,repair_recall,violation_type
0.20689655172413793,0.0,0.4482758620689655,0.0,0.0,0.7931034482758621,1360.4336166092364,0.0,5.586206896551724,react,0.696969696969697,0.0,1.0,0.0,0.0,provenance
0.3548387096774194,0.0,0.3225806451612903,0.0,0.0,0.6451612903225806,1178.015763272269,0.0,5.354838709677419,react,0.6363636363636364,0.0,1.0,0.0,0.0,coordinate
0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,1208.0687965056484,0.0,5.333333333333333,react,0.0,0.0,0.0,0.0,0.0,none
0.4074074074074074,0.0,0.2962962962962963,0.0,0.0,0.5925925925925926,1121.3998717751415,0.0,5.185185185185185,react,0.618421052631579,0.0,1.0,0.0,0.0,confidence
0.25,0.0,0.39285714285714285,0.0,0.0,0.75,1271.7265848450884,0.0,5.428571428571429,react,0.36363636363636365,0.0,1.0,0.0,0.0,freshness
0.4666666666666667,0.0,0.3,0.0,0.0,0.5333333333333333,1104.9604816103954,0.0,5.166666666666667,react,0.475,0.0,1.0,0.0,0.0,compound
0.3142857142857143,0.0,0.2571428571428571,0.0,0.0,0.6857142857142857,1212.2208346255295,0.0,5.285714285714286,react,0.4965034965034965,0.0,1.0,0.0,0.0,unit
0.0,0.0,0.4482758620689655,0.0,0.0,0.7241379310344828,1398.2701330380785,0.0,6.0,schema_aware,0.696969696969697,0.0,1.0,0.0,0.0,provenance
0.0,0.0,0.3548387096774194,0.0,0.0,0.4838709677419355,1155.1413854263496,0.0,5.741935483870968,schema_aware,0.6363636363636364,0.0,1.0,0.0,0.0,coordinate
1.0,0.0,0.8333333333333334,0.0,0.0,0.5,1204.6828005309692,0.0,5.833333333333333,schema_aware,0.0,0.0,0.0,0.0,0.0,none
0.0,0.0,0.4074074074074074,0.0,0.0,0.4074074074074074,1153.9573652650363,0.0,5.851851851851852,schema_aware,0.618421052631579,0.0,1.0,0.0,0.0,confidence
0.0,0.0,0.5714285714285714,0.0,0.0,0.5,1161.5901514265245,0.0,5.642857142857143,schema_aware,0.36363636363636365,0.0,1.0,0.0,0.0,freshness
0.0,0.0,0.4,0.0,0.0,0.4,1165.510808385204,0.0,5.866666666666666,schema_aware,0.475,0.0,1.0,0.0,0.0,compound
0.0,0.0,0.34285714285714286,0.0,0.0,0.4857142857142857,1211.2033707149671,0.0,5.885714285714286,schema_aware,0.4965034965034965,0.0,1.0,0.0,0.0,unit
0.896551724137931,0.5416666666666666,0.8620689655172413,0.0,0.0,0.7931034482758621,1644.5750578982095,0.012413793103448275,7.655172413793103,strict,0.8080808080808081,0.5499999999999999,1.0,0.3793103448275862,1.0,provenance
0.8387096774193549,0.46153846153846156,0.8064516129032258,0.0,0.0,0.6451612903225806,1457.3367102066445,0.01935483870967742,7.483870967741935,strict,0.7227272727272728,0.5238095238095238,0.8369453778544688,0.3548387096774194,1.0,coordinate
0.8166666666666667,1.0,1.0,0.0,0.0,0.6666666666666666,1506.0305036905872,0.022,7.116666666666666,strict,0.0,0.0,0.0,0.0,0.0,none
0.8518518518518519,0.5789473684210527,0.7777777777777778,0.0,0.0,0.5925925925925926,1524.542808404637,0.017777777777777778,7.7407407407407405,strict,0.9078947368421053,0.45714285714285713,0.7885912698412698,0.2962962962962963,1.0,confidence
0.8214285714285714,0.631578947368421,0.8214285714285714,0.0,0.0,0.75,1601.2702309116464,0.02142857142857143,7.571428571428571,strict,0.8409090909090909,0.35294117647058826,0.5695767195767196,0.21428571428571427,1.0,freshness
0.7666666666666667,0.4782608695652174,0.8666666666666667,0.0,0.0,0.5333333333333333,1513.0253730068432,0.03284722222222222,7.7,strict,0.745,0.5,0.6288616938616939,0.3333333333333333,1.0,compound
0.8571428571428571,0.4,0.8285714285714286,0.0,0.0,0.6857142857142857,1531.288065156502,0.017142857142857144,7.6,strict,0.6608391608391608,0.5416666666666666,0.6442402494438693,0.37142857142857144,1.0,unit
0.896551724137931,0.5416666666666666,0.8620689655172413,0.0,0.0,0.7931034482758621,1644.5750578982095,0.012413793103448275,7.655172413793103,proposed,0.8080808080808081,0.6285714285714286,1.0,0.4583333333333333,1.0,provenance
0.8387096774193549,0.46153846153846156,0.8064516129032258,0.0,0.0,0.6451612903225806,1457.3367102066445,0.01935483870967742,7.483870967741935,proposed,0.7227272727272728,0.5945945945945945,0.8369453778544688,0.4230769230769231,1.0,coordinate
0.8166666666666667,1.0,1.0,0.0,0.0,0.6666666666666666,1506.0305036905872,0.022,7.116666666666666,proposed,0.0,0.0,0.0,0.0,0.0,none
0.2962962962962963,0.5,0.5555555555555556,0.0,0.0,0.5925925925925926,1479.576444032668,0.02425925925925926,7.185185185185185,proposed,0.9078947368421053,0.3333333333333333,0.7885912698412698,0.5,0.25,confidence
0.5,0.3,0.8214285714285714,0.0,0.0,0.75,1555.421937352469,0.024107142857142855,7.25,proposed,0.8409090909090909,0.7499999999999999,0.5695767195767196,0.6,1.0,freshness
0.7333333333333333,0.45454545454545453,0.8666666666666667,0.0,0.0,0.5333333333333333,1507.3987924634196,0.03319444444444444,7.666666666666667,proposed,0.745,0.625,0.6288616938616939,0.45454545454545453,1.0,compound
0.8571428571428571,0.4,0.8285714285714286,0.0,0.0,0.6857142857142857,1531.288065156502,0.017142857142857144,7.6,proposed,0.6608391608391608,0.6842105263157895,0.6442402494438693,0.52,1.0,unit
