EPVR,OURR,TSR,URR,VURR,avg_agent_calls,avg_latency,avg_residual_risk,avg_tool_calls,group,method,repair_auc,repair_f1,repair_pr_auc,repair_precision,repair_recall
0.7466666666666667,0.5413533834586466,0.8766666666666667,0.0,0.0,0.6666666666666666,1519.7039980915195,0.021752777777777777,7.336666666666667,all,theta=0.05,0.784935649483086,0.5520833333333333,0.530589992855701,0.39849624060150374,0.8983050847457628
0.5066666666666667,0.6229508196721312,0.7666666666666667,0.0,0.0,0.6666666666666666,1507.5721169404226,0.04192638888888889,7.096666666666667,all,theta=0.1,0.784935649483086,0.3333333333333333,0.530589992855701,0.32786885245901637,0.3389830508474576
0.47333333333333333,0.7450980392156863,0.74,0.0,0.0,0.6666666666666666,1503.0089278231715,0.047516666666666665,7.0633333333333335,all,theta=0.2,0.784935649483086,0.2181818181818182,0.530589992855701,0.23529411764705882,0.2033898305084746
0.47333333333333333,0.7450980392156863,0.74,0.0,0.0,0.6666666666666666,1503.0089278231715,0.047516666666666665,7.0633333333333335,all,theta=0.3,0.784935649483086,0.2181818181818182,0.530589992855701,0.23529411764705882,0.2033898305084746
0.47333333333333333,0.0,0.7,0.0,0.0,0.6666666666666666,1491.0792269478698,0.09463194444444445,6.8933333333333335,all,theta=0.4,0.784935649483086,0.0,0.530589992855701,0.0,0.0
0.47333333333333333,0.0,0.7,0.0,0.0,0.6666666666666666,1491.0792269478698,0.09463194444444445,6.8933333333333335,all,theta=0.5,0.784935649483086,0.0,0.530589992855701,0.0,0.0
0.47333333333333333,0.0,0.7,0.0,0.0,0.6666666666666666,1491.0792269478698,0.09463194444444445,6.8933333333333335,all,theta=0.6,0.784935649483086,0.0,0.530589992855701,0.0,0.0
0.47333333333333333,0.0,0.7,0.0,0.0,0.6666666666666666,1491.0792269478698,0.09463194444444445,6.8933333333333335,all,theta=0.7,0.784935649483086,0.0,0.530589992855701,0.0,0.0
0.47333333333333333,0.0,0.7,0.0,0.0,0.6666666666666666,1491.0792269478698,0.09463194444444445,6.8933333333333335,all,theta=0.8,0.784935649483086,0.0,0.530589992855701,0.0,0.0
0.47333333333333333,0.0,0.7,0.0,0.0,0.6666666666666666,1491.0792269478698,0.09463194444444445,6.8933333333333335,all,theta=0.9,0.784935649483086,0.0,0.530589992855701,0.0,0.0
